,crystal_name,indirect_bandgap (eV),_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma
142,B40Cs4Li19S72,2.8259,9.268255394,9.287163255,26.12381252,90.04581218,90.03437909,89.9664308
143,B40Cs4Li18S72,3.1505,9.262011,9.262656203,26.44183854,90.0000325,90.00007179,89.99999954
144,B40Cs4Li20Se72,0.6254,9.914979673,9.914031891,27.53941257,90.00006489,90.00006567,89.99999954
145,B40Li13S76Sr9,0.7377,10.92764842,13.49341772,16.04702971,88.80855783,91.94976082,90.64839945
146,B40Li11S76Sr8,3.3358,10.80211266,13.37529878,16.14059752,90.19129733,90.55899994,89.0955508
147,B40Cs4Li13S72,0.4063,9.196942983,9.163678986,26.27296854,90.3892894,89.79693717,89.97028828
148,B56Li37S104,3.3057,16.77150047,21.71510116,11.89553824,89.98094884,134.7681301,90.00447691
149,B28Li26Se60,1.784,11.24017613,11.22194713,16.23765577,90.01934224,89.9797136,89.72947336
150,B28Li29Se60,0.4673,11.17672982,11.36024258,16.26112262,90.06587741,89.96903857,90.62926864
151,B56Li38S104,2.9455,16.84498696,21.67614136,11.91957714,89.97399684,134.7509643,90.06946947
152,Li7Mn15O32,0.3726,7.53026456,7.530320687,7.530106788,90.03347542,90.03689069,89.93276312
153,B56Li43S104,2.7224,16.74635851,21.80509366,11.87411735,90.04248468,134.8275103,89.95831175
154,B56Li44S104,3.5547,16.75288696,21.84155352,11.85111102,90.04893455,134.9119864,89.98138155
155,B28Li30Se60,1.6063,11.16182233,11.44387738,16.23302081,90.03106806,90.19707888,90.09529871
156,CrLi9O32Ti14,0.3859,7.888250879,7.887157469,7.885668961,91.3382194,90.32444726,90.40297813
157,LiNd3O9Ti4,0.3976,5.329969621,5.29941404,6.776582888,89.99984559,90.00060123,89.9977103
158,Li2Nd2O11Ti4,0.3775,5.129671338,5.149254717,7.385022034,90.00023029,90.00000452,89.99012885
159,Cr4Li9O32Ti11,0.3731,7.846878635,7.860546018,7.832674176,88.9549777,88.64672387,90.97091768
160,Li3NdO9Ti4,0.5384,5.108137162,5.119836834,6.803068995,89.99959215,90.00023139,90.00258974
161,Cr6Li9O32Ti9,0.3724,7.818332537,7.787249207,7.833024848,89.25049,88.9129152,89.18299535
162,LiNd3O11Ti4,0.3656,5.185106474,5.19543296,7.446279656,90.00002536,90.00026547,89.9959219
163,Cr4La3LiO12,0.3698,5.162727942,5.149460685,7.311570639,90.00028335,90.00081204,89.44865308
164,Cr2La4O12Ti2,0.3851,5.299188105,5.253204249,7.417387349,90.00040636,90.00078277,90.00622754
165,CrLa2Li2O12Ti3,0.6064,5.161156186,5.175105605,7.287744387,90.39752061,89.9737675,89.94833101
166,Cr2La2Li2O12Ti2,0.4189,5.125366943,5.127666812,7.304313132,89.37330957,90.00023537,90.00042707
167,CrLa3LiO12Ti3,0.3809,5.243781327,5.202021813,7.45115343,90.20200901,90.15440659,89.44284575
168,Li4P4S6,0.3891,5.986669723,5.986635441,8.68064202,89.97562641,89.97362446,120.0059985
169,Li3O32V13Zn8,0.3657,7.920433894,7.898266235,7.91948804,89.83031728,88.69625089,89.84265925
170,CrLaLiO12Ti3,0.4471,5.12438608,5.091821432,7.137948501,90.2082676,89.60670751,89.80195282
171,Li2Mn3O6,0.364,2.641286102,2.641302314,13.63007441,89.99545749,90.00373891,120.0133028
172,Li4Mn2O6,0.3915,2.65026051,2.658199535,13.43349963,90.00259176,87.12756894,120.1323742
173,Li3MnO6,0.3687,2.578844907,2.604791454,12.31450056,97.76061372,90.03599538,119.7765793
174,Li3Mn3O6,0.3656,2.689811594,2.689829065,13.57269953,89.99981103,90.00032965,120.0260933
175,Li2Mn2O6,0.3732,2.596207877,2.596218661,13.11859412,90.00231863,89.99810778,120.0401462
176,Li4Mn3O6,0.3825,2.674722377,2.674732531,13.97354065,90.00211036,89.99794752,120.0261046
177,O4,0.3665,4.082772582,4.082810079,2.272094407,90.00013684,90.00011481,90.01593829
