,indirect_bandgap (eV),crystal_name,_cell_length_c,_cell_length_b,_cell_length_a,_cell_angle_gamma,_cell_angle_beta,_cell_angle_alpha
1616,3.9452,Cs12Li4O64W16Zn8,12.2224342879999,12.1854702194,12.2205068934,89.9771001614999,90.0018058626,90.0050311529999
4242,0.3656,Fe9Li8O32Sb7,8.48520864204,8.46371925255,8.28845517472,91.3479319528,88.6824489694,91.0076917689999
4115,0.389099999999998,Al2LiN12O4Si10,5.45991263164,7.39585244913999,7.65442498486999,118.485002619,89.9395003667,91.0141341954
6072,0.3661,Fe5Li2Mg9O48Si16,5.11959268815,8.6727820156,18.0873334774,90.0500700061,89.7016003130999,89.8953460005
1662,6.0808,Li3Mg4O16P4,4.72657752597,5.87932476159999,10.1440001885,90.0626602098,90.2774233812,89.581158379
1037,0.3672,Fe4Li6O16Sn2,9.10949631396,5.45477800113999,5.52213488674999,119.614599837,89.9479033041,90.0096864668
5791,2.0243,Hf12Li21S32,10.2037022171,10.2016340187,10.1999356303999,90.0101866301,89.9980621765,90.0030707641
4399,6.4068,Li4O8PSi,5.56690637065,5.51162258934999,5.3243078168,91.2158819956,93.0345059344,93.1012228499
405,0.3958,FeK2Li6Na3O60Si24TiZr2,13.0825668174,9.44802178997,9.4469546519,120.013530586,90.0016745976,89.9972657992
3611,1.5519,Ge2Li17P4S24,12.1257143301,8.45735357595,7.98556683275,88.9744037078,90.3723705028,88.685771824
2015,0.4223,Li3NO8Sr4Ta,7.01614991691999,5.79366667117,5.79517238103999,97.3628730997,90.0000106704,90.000023517
1140,0.366400000000001,Li7MgO32V16,7.78479765955,7.78488579486,7.76796064161999,89.6221916387999,89.6221593180999,90.0266110707
2427,3.1824,Li10Mo12O48Sc6,17.5605674911,10.4857919624,5.14880063102,91.2329236012,89.9585306017,89.6617145342
